,sth_mvrv,sth_nupl,sth_sopr_24h,sth_supply_in_profit
2014-05-02 00:00:00+00:00,0.718,-0.3928,0.9802481030988822,610371.27326536
2014-05-03 00:00:00+00:00,0.7136,-0.4014,0.9885308462864771,573140.12356034
2014-05-04 00:00:00+00:00,0.6842,-0.4615,0.9854158590014386,180994.50099389
2014-05-05 00:00:00+00:00,0.6901,-0.449,0.97599666030179,229639.82856095
2014-05-06 00:00:00+00:00,0.706,-0.4163,0.9857818458175646,395194.19756505
2014-05-07 00:00:00+00:00,0.7099,-0.4087,0.9920377430586503,474121.09419596
2014-05-08 00:00:00+00:00,0.7309,-0.3681,0.9929006809561121,811046.99505292
2014-05-09 00:00:00+00:00,0.721,-0.3869,0.9938316066753967,628770.52832828
2014-05-10 00:00:00+00:00,0.7072,-0.4139,0.9923736759846475,223619.70326957
2014-05-11 00:00:00+00:00,0.7076,-0.4132,0.9891667560773924,219370.75596236
2014-05-12 00:00:00+00:00,0.701,-0.4266,0.9855506059114043,171612.48294053
2014-05-13 00:00:00+00:00,0.6998,-0.4288,0.9895085968727116,173442.50625506
2014-05-14 00:00:00+00:00,0.7248,-0.3797,0.993891116953812,438925.73131207
2014-05-15 00:00:00+00:00,0.7193,-0.3903,0.9976615484167646,304225.16130155
2014-05-16 00:00:00+00:00,0.7436,-0.3447,0.9992513909602007,856533.92270345
2014-05-17 00:00:00+00:00,0.7499,-0.3335,0.9981181813157436,945515.62771463
2014-05-18 00:00:00+00:00,0.7239,-0.3814,0.9929545071256739,298759.87405264
2014-05-19 00:00:00+00:00,0.7332,-0.3638,0.9928549053963913,440515.75155497
2014-05-20 00:00:00+00:00,0.7288,-0.3721,0.9936626284717145,336269.73542083
2014-05-21 00:00:00+00:00,0.7439,-0.3441,0.9881734992023655,644058.07385309
2014-05-22 00:00:00+00:00,0.747,-0.3387,0.9976390899717795,579625.02021807
2014-05-23 00:00:00+00:00,0.749,-0.3351,0.9931727528258923,586146.48133542
2014-05-24 00:00:00+00:00,0.7551,-0.3243,0.9970616506972341,961382.42191074
2014-05-25 00:00:00+00:00,0.7495,-0.3342,0.993150799521581,573708.52532623
2014-05-26 00:00:00+00:00,0.7522,-0.3295,0.993672761662028,672586.38265867
2014-05-27 00:00:00+00:00,0.8224,-0.2159,1.003440276881354,1313860.69538499
2014-05-28 00:00:00+00:00,0.8299,-0.2049,1.0047720761073826,1353988.64557662
2014-05-29 00:00:00+00:00,0.8879,-0.1263,1.0107549514813712,1734742.60954129
2014-05-30 00:00:00+00:00,0.8785,-0.1383,1.0061347742042912,1607086.89829324
2014-05-31 00:00:00+00:00,0.8873,-0.127,1.0016325221126645,1732090.0685342
2014-06-01 00:00:00+00:00,0.9617,-0.0397,1.016804016281808,1988793.76978291
2014-06-02 00:00:00+00:00,0.9829,-0.0174,1.0091760543098829,2212002.40790974
2014-06-03 00:00:00+00:00,0.9621,-0.0394,1.0060801926600687,1922502.76833065
2014-06-04 00:00:00+00:00,0.9751,-0.0254,1.0057897266427607,2209801.98694716
2014-06-05 00:00:00+00:00,0.9629,-0.0385,1.0022371422764906,1933702.90044222
2014-06-06 00:00:00+00:00,1.0378,0.0364,1.0299888968570559,2534022.57335339
2014-06-07 00:00:00+00:00,1.0464,0.0443,1.0084604429277875,2617797.12725457
2014-06-08 00:00:00+00:00,1.0459,0.0439,1.0127213225815506,2580367.50290945
2014-06-09 00:00:00+00:00,1.1009,0.0916,1.0281372802327606,3324604.56587955
2014-06-10 00:00:00+00:00,1.1092,0.0984,1.0154137961516427,3429071.03115985
2014-06-11 00:00:00+00:00,1.0653,0.0612,1.00467549446008,3035504.9953747
2014-06-12 00:00:00+00:00,1.0977,0.089,1.0094790538984824,3275190.88595106
2014-06-13 00:00:00+00:00,1.0749,0.0696,1.0109212831666265,2885597.36784993
2014-06-14 00:00:00+00:00,1.0859,0.0791,1.0042326150247343,2990553.63497801
2014-06-15 00:00:00+00:00,1.0873,0.0802,1.0038348031186444,3007446.97261276
2014-06-16 00:00:00+00:00,1.0724,0.0675,1.0228204728321917,2827030.92222683
2014-06-17 00:00:00+00:00,1.0722,0.0673,1.0155643688059859,2724124.96980169
2014-06-18 00:00:00+00:00,1.0305,0.0295,1.0032853911486168,1963128.99471977
2014-06-19 00:00:00+00:00,0.9501,-0.0525,0.984095795397007,1392470.70540269
2014-06-20 00:00:00+00:00,0.9854,-0.0148,0.9967030167719093,1791513.39461218
2014-06-21 00:00:00+00:00,0.9482,-0.0545,0.9894378220426614,1315640.30163791
2014-06-22 00:00:00+00:00,0.9805,-0.0199,0.9973390491405688,1781945.96290339
2014-06-23 00:00:00+00:00,0.9889,-0.0112,1.0019902386140942,1789035.14393504
2014-06-24 00:00:00+00:00,1.0188,0.0184,1.0016725291616801,2157496.92596063
2014-06-25 00:00:00+00:00,1.021,0.0206,1.0041475346234985,2151690.88315181
2014-06-26 00:00:00+00:00,0.9961,-0.0039,1.0007394143844588,1777354.6431534
2014-06-27 00:00:00+00:00,0.9976,-0.0023,0.9992771025386317,1812829.03214048
2014-06-28 00:00:00+00:00,0.9966,-0.0033,0.9985571721801617,1812370.64121501
2014-06-29 00:00:00+00:00,1.011,0.0109,1.0017383233701063,1954417.51535407
2014-06-30 00:00:00+00:00,0.9927,-0.0073,1.0047912282956297,1758350.21025479
2014-07-01 00:00:00+00:00,0.9675,-0.0336,1.00336292235668,1323465.41430499
2014-07-02 00:00:00+00:00,0.9461,-0.0569,0.9939651408674627,1090872.64656381
2014-07-03 00:00:00+00:00,0.9773,-0.0231,0.9955282444525079,1596392.5289408
2014-07-04 00:00:00+00:00,1.016,0.0157,1.0023624821911075,2130039.02762724
2014-07-05 00:00:00+00:00,1.0013,0.0013,1.0048198250159692,1942846.17413668
2014-07-06 00:00:00+00:00,1.0176,0.0173,1.0015688117605697,2166277.89178904
2014-07-07 00:00:00+00:00,1.0778,0.0721,1.0097353294239735,3048171.43872222
2014-07-08 00:00:00+00:00,1.0894,0.0821,1.0134033949551644,3295145.03759527
2014-07-09 00:00:00+00:00,1.0955,0.0872,1.0153496535191011,3434169.31450972
2014-07-10 00:00:00+00:00,1.0909,0.0833,1.003460103149341,3372810.63633619
2014-07-11 00:00:00+00:00,1.0609,0.0574,1.0018171521286827,2561182.38174101
2014-07-12 00:00:00+00:00,1.0715,0.0667,1.0034750681872655,2594612.08071841
2014-07-13 00:00:00+00:00,1.0773,0.0717,1.002716403649492,2612443.05119517
2014-07-14 00:00:00+00:00,1.0644,0.0604,1.0037117609207522,2351555.12826836
2014-07-15 00:00:00+00:00,1.0661,0.0619,1.0010885723835385,2390096.26269433
2014-07-16 00:00:00+00:00,1.0598,0.0564,1.0025277606382326,2240242.42458093
2014-07-17 00:00:00+00:00,1.0532,0.0504,1.0004511826621751,2209583.62854399
2014-07-18 00:00:00+00:00,1.0824,0.0761,1.003171700034319,2818119.48681633
2014-07-19 00:00:00+00:00,1.0866,0.0797,1.0028946545548576,2875037.44840913
2014-07-20 00:00:00+00:00,1.0747,0.0695,1.0026536553376801,2609373.25382596
2014-07-21 00:00:00+00:00,1.0587,0.0554,1.0007311190075554,2208099.40434875
2014-07-22 00:00:00+00:00,1.0655,0.0614,1.0009377934541388,2402782.91386395
2014-07-23 00:00:00+00:00,1.0538,0.051,1.0009686833796287,2118957.19771842
2014-07-24 00:00:00+00:00,1.0692,0.0647,1.004612836917596,2542481.23023257
2014-07-25 00:00:00+00:00,1.0794,0.0735,1.002670352314332,2763273.29149277
2014-07-26 00:00:00+00:00,1.0746,0.0693,1.003109966745918,2687107.58314088
2014-07-27 00:00:00+00:00,1.0701,0.0655,1.0054529987603709,2540931.6813173
2014-07-28 00:00:00+00:00,1.0602,0.0567,1.0136446560406382,2281747.74832824
2014-07-29 00:00:00+00:00,1.0561,0.0531,1.0013563408898927,2070940.06200366
2014-07-30 00:00:00+00:00,1.0559,0.0529,1.0021459088329983,2072840.91656183
2014-07-31 00:00:00+00:00,1.0287,0.0278,0.9965037761505836,1716640.56573116
2014-08-01 00:00:00+00:00,1.0231,0.0225,0.9993867526647071,1687720.01626499
2014-08-02 00:00:00+00:00,1.0103,0.0102,0.9986435761517489,1511220.49742277
2014-08-03 00:00:00+00:00,1.0048,0.0047,0.9967934203659251,1434420.4944033
2014-08-04 00:00:00+00:00,1.0027,0.0027,0.990771797347748,1456984.59168706
2014-08-05 00:00:00+00:00,0.9932,-0.0068,0.998027265813024,1310856.05813522
2014-08-06 00:00:00+00:00,0.9561,-0.0459,0.9897225624408874,869993.89161951
2014-08-07 00:00:00+00:00,0.9907,-0.0094,0.998615892108437,1262885.48063416
2014-08-08 00:00:00+00:00,1.0203,0.0199,1.0198246242392452,1688464.27042314
2014-08-09 00:00:00+00:00,1.0088,0.0086,0.9973413288458983,1489705.42823841
2014-08-10 00:00:00+00:00,1.0005,0.0005,0.9971478464298144,1306193.62012658
2014-08-11 00:00:00+00:00,1.0071,0.007,1.0001207949230269,1514016.05027596
2014-08-12 00:00:00+00:00,0.9941,-0.0059,0.9970054262718987,1187793.47779317
2014-08-13 00:00:00+00:00,0.9977,-0.0023,0.9968153943742182,1330670.26582452
2014-08-14 00:00:00+00:00,1.0038,0.0037,1.000310785257631,1522477.97096206
2014-08-15 00:00:00+00:00,1.0092,0.0091,1.0013588145732706,1696667.18207606
2014-08-16 00:00:00+00:00,1.0113,0.0111,1.0004002467226916,1712450.49448003
2014-08-17 00:00:00+00:00,1.0137,0.0135,1.0022048058112791,1769068.5479844
2014-08-18 00:00:00+00:00,0.9855,-0.0146,0.9978928730726182,919026.74882372
2014-08-19 00:00:00+00:00,0.981,-0.0193,0.9973841693052478,873272.90139543
2014-08-20 00:00:00+00:00,0.9513,-0.0511,0.9907897934652926,813445.54955068
2014-08-21 00:00:00+00:00,0.8791,-0.1375,0.9760047617729709,622194.75977376
2014-08-22 00:00:00+00:00,0.8744,-0.1436,0.9889956742131205,663089.67191669
2014-08-23 00:00:00+00:00,0.9155,-0.0923,0.994142364518312,925722.12530178
2014-08-24 00:00:00+00:00,0.8728,-0.1457,0.9930970853509031,683321.13823258
2014-08-25 00:00:00+00:00,0.8347,-0.1979,0.9746600040758202,508156.65706108
2014-08-26 00:00:00+00:00,0.8643,-0.157,0.9921618675139547,675678.61105472
2014-08-27 00:00:00+00:00,0.9129,-0.0954,0.9969976095427218,1076463.4199842
2014-08-28 00:00:00+00:00,0.9185,-0.0886,0.999948551459968,1050755.1286762
2014-08-29 00:00:00+00:00,0.9126,-0.0957,0.9990890108078601,1025242.02620501
2014-08-30 00:00:00+00:00,0.8822,-0.1335,0.9805777124116564,802143.9006916
2014-08-31 00:00:00+00:00,0.9024,-0.1081,0.9978461035740038,999433.59609519
2014-09-01 00:00:00+00:00,0.8942,-0.1182,0.9947558583425801,922720.53475421
2014-09-02 00:00:00+00:00,0.9112,-0.0974,0.9993730814855223,1138081.62895607
2014-09-03 00:00:00+00:00,0.9083,-0.101,0.9997615191883358,1002155.66403053
2014-09-04 00:00:00+00:00,0.9087,-0.1005,0.9475277546257956,839367.69780724
2014-09-05 00:00:00+00:00,0.9135,-0.0946,0.9988595736402162,939711.01232009
2014-09-06 00:00:00+00:00,0.8996,-0.1116,0.9978232962678752,670118.61490914
2014-09-07 00:00:00+00:00,0.8597,-0.1631,0.9922521206087209,394546.45901502
2014-09-08 00:00:00+00:00,0.8554,-0.1691,0.9916274764116986,390535.14883091
2014-09-09 00:00:00+00:00,0.855,-0.1696,0.9887751698869447,364643.48427015
2014-09-10 00:00:00+00:00,0.858,-0.1655,0.9913909885840847,396720.21068163
2014-09-11 00:00:00+00:00,0.8816,-0.1343,0.9942326163817246,654103.72703821
2014-09-12 00:00:00+00:00,0.863,-0.1587,0.9926677117327254,447057.02223869
2014-09-13 00:00:00+00:00,0.8675,-0.1527,0.984571946944267,505396.31708814
2014-09-14 00:00:00+00:00,0.8617,-0.1604,0.991004068006346,362383.11851229
2014-09-15 00:00:00+00:00,0.846,-0.182,0.989654646767426,274336.33445391
2014-09-16 00:00:00+00:00,0.8592,-0.1639,0.9875450282166708,449739.65514419
2014-09-17 00:00:00+00:00,0.8659,-0.1548,0.9914713688974437,492865.01828461
2014-09-18 00:00:00+00:00,0.8676,-0.1526,0.9917810789798566,571566.04010405
2014-09-19 00:00:00+00:00,0.8614,-0.1608,0.9912689814175667,453684.97929075
2014-09-20 00:00:00+00:00,0.8683,-0.1516,0.996165179035443,618804.59409005
2014-09-21 00:00:00+00:00,0.8644,-0.1568,0.996909842139016,506376.52998902
2014-09-22 00:00:00+00:00,0.856,-0.1681,0.9943669927242655,311646.61137209
2014-09-23 00:00:00+00:00,0.8442,-0.1845,0.9916179118522691,218619.19971052
2014-09-24 00:00:00+00:00,0.826,-0.2106,0.9884495062145429,205112.07528713
2014-09-25 00:00:00+00:00,0.782,-0.2787,0.9696855500721934,42872.35343714
