date,regime,final_score,target_exposure,transition_occurred,close,indicator_scores,pca_components,posteriors
2020-02-02 00:00:00+00:00,BULL,0.9148441426062319,1.065175925581551,False,9331.51,"{'AdvancedStochastic': 1.0, 'RSI-50': 1.0, 'FourierSupertrend': 0.5851815303674426, 'TrendStrengthIndex': 1.0}","{'PC1': 1.5843718771403736, 'PC2': 0.22815463948023257, 'pca_variance_explained': 85.6251465133264}","{'SIDEWAYS': 2.3365143639783745e-65, 'BEAR': 1.0, 'BULL': 4.7608596540889224e-64, 'sth_nupl': 0.0958, 'sth_mvrv': 1.106}"
2020-02-03 00:00:00+00:00,BULL,0.9064582837134184,1.083635590870978,False,9292.24,"{'AdvancedStochastic': 1.0, 'RSI-50': 1.0, 'FourierSupertrend': 0.544331619874661, 'TrendStrengthIndex': 1.0}","{'PC1': 1.4809627990775178, 'PC2': 0.403130349853569, 'pca_variance_explained': 85.6251465133264}","{'SIDEWAYS': 2.1808402007783787e-65, 'BEAR': 1.0, 'BULL': 1.8256219036566396e-63, 'sth_nupl': 0.0969, 'sth_mvrv': 1.1074}"
2020-02-04 00:00:00+00:00,BULL,0.8125762116731218,1.1873965613373825,False,9197.02,"{'AdvancedStochastic': 0.68, 'RSI-50': 1.0, 'FourierSupertrend': 0.5040739607778038, 'TrendStrengthIndex': 1.0}","{'PC1': 1.1653442140101113, 'PC2': 0.7144465779602023, 'pca_variance_explained': 85.6251465133264}","{'SIDEWAYS': 1.3722298675049532e-65, 'BEAR': 1.0, 'BULL': 9.75446011027215e-63, 'sth_nupl': 0.0975, 'sth_mvrv': 1.1081}"
2020-02-05 00:00:00+00:00,BULL,0.8235592183042068,1.2182409254910622,False,9612.04,"{'AdvancedStochastic': 0.68, 'RSI-50': 1.0, 'FourierSupertrend': 0.5575753186656558, 'TrendStrengthIndex': 1.0}","{'PC1': 1.3007796660723947, 'PC2': 0.4852799044121843, 'pca_variance_explained': 85.6251465133264}","{'SIDEWAYS': 9.916940377466372e-65, 'BEAR': 1.0, 'BULL': 7.47032264671653e-62, 'sth_nupl': 0.09, 'sth_mvrv': 1.0989}"
2020-02-06 00:00:00+00:00,BULL,0.9204095813217044,1.264368167478007,False,9772.0,"{'AdvancedStochastic': 1.0, 'RSI-50': 1.0, 'FourierSupertrend': 0.6122923697323807, 'TrendStrengthIndex': 1.0}","{'PC1': 1.6530013274970354, 'PC2': 0.11202859857897514, 'pca_variance_explained': 85.6251465133264}","{'SIDEWAYS': 3.0324020332563696e-64, 'BEAR': 1.0, 'BULL': 2.4170847037764976e-60, 'sth_nupl': 0.0778, 'sth_mvrv': 1.0844}"
2020-02-07 00:00:00+00:00,BULL,0.9284380575144415,1.3037198841891258,False,9813.73,"{'AdvancedStochastic': 1.0, 'RSI-50': 1.0, 'FourierSupertrend': 0.6514013671599188, 'TrendStrengthIndex': 1.0}","{'PC1': 1.752003389414869, 'PC2': -0.05549011870393552, 'pca_variance_explained': 85.6251465133264}","{'SIDEWAYS': 7.387626034550312e-63, 'BEAR': 1.0, 'BULL': 9.43166187972384e-59, 'sth_nupl': 0.1255, 'sth_mvrv': 1.1435}"
2020-02-08 00:00:00+00:00,BULL,0.9378355560214888,1.3323902671772543,False,9895.05,"{'AdvancedStochastic': 1.0, 'RSI-50': 1.0, 'FourierSupertrend': 0.6971792627548365, 'TrendStrengthIndex': 1.0}","{'PC1': 1.8678873637497606, 'PC2': -0.2515742644092875, 'pca_variance_explained': 85.6251465133264}","{'SIDEWAYS': 3.606195907418868e-61, 'BEAR': 1.0, 'BULL': 4.818468217564467e-57, 'sth_nupl': 0.1258, 'sth_mvrv': 1.1439}"
2020-02-09 00:00:00+00:00,BULL,0.9565719901636865,1.3700031359025906,False,10151.75,"{'AdvancedStochastic': 1.0, 'RSI-50': 1.0, 'FourierSupertrend': 0.788449777492281, 'TrendStrengthIndex': 1.0}","{'PC1': 2.098933152332069, 'PC2': -0.6425206082243234, 'pca_variance_explained': 85.6251465133264}","{'SIDEWAYS': 4.3534495995876e-59, 'BEAR': 1.0, 'BULL': 4.7131006924153365e-55, 'sth_nupl': 0.1251, 'sth_mvrv': 1.1431}"
2020-02-10 00:00:00+00:00,BULL,0.9515099974706376,1.3655320008466094,False,9851.83,"{'AdvancedStochastic': 1.0, 'RSI-50': 1.0, 'FourierSupertrend': 0.7637913672961151, 'TrendStrengthIndex': 1.0}","{'PC1': 2.0365118781084246, 'PC2': -0.5368992546227367, 'pca_variance_explained': 85.6251465133264}","{'SIDEWAYS': 1.77067827067509e-57, 'BEAR': 1.0, 'BULL': 5.394603022563707e-54, 'sth_nupl': 0.1327, 'sth_mvrv': 1.1531}"
2020-02-11 00:00:00+00:00,BULL,0.9676733316470918,1.3475802502945804,False,10223.08,"{'AdvancedStochastic': 1.0, 'RSI-50': 1.0, 'FourierSupertrend': 0.8425275781974102, 'TrendStrengthIndex': 1.0}","{'PC1': 2.2358278345265976, 'PC2': -0.8741564057000548, 'pca_variance_explained': 85.6251465133264}","{'SIDEWAYS': 8.388604691740771e-56, 'BEAR': 1.0, 'BULL': 3.350507655616453e-52, 'sth_nupl': 0.1509, 'sth_mvrv': 1.1778}"
2020-02-12 00:00:00+00:00,BULL,0.9446389479429874,1.307692722547081,False,10326.46,"{'AdvancedStochastic': 1.0, 'RSI-50': 1.0, 'FourierSupertrend': 0.7267683840857285, 'TrendStrengthIndex': 1.0}","{'PC1': 1.9882929587139624, 'PC2': -0.3062370034069286, 'pca_variance_explained': 85.48743535281737}","{'BEAR': 0.00010400686947083008, 'SIDEWAYS': 9.547568610879425e-05, 'BULL': 0.99980051744433, 'sth_nupl': 0.1267, 'sth_mvrv': 1.1451}"
